,Species,label,URI
0,Zea mays,Maize,asm/your installation/Zea mays
1,Beta vulgaris,Beet,asm/your installation/Beta vulgaris
2,Canabis sativa,Hemp,asm/your installation/Canabis sativa
3,Glycine max,Soybean,asm/your installation/Glycine max
4,Gossypium hirsutum,cotton,asm/your installation/Gossypium hirsutum
5,Helianthus annuus,Sunflower,asm/your installation/Helianthus annuus
6,Linum usitatissum,Flax,asm/your installation/Linum usitatissum
7,Lupinus albus,Lupine,asm/your installation/Lupinus albus
8,Ordeum vulgare,Barley,asm/your installation/Ordeum vulgare
9,Oriza sativa,Rice,asm/your installation/Oriza sativa
10,Pennisetum glaucum,Pearl millet,asm/your installation/Pennisetum glaucum
11,Pisum sativum,Peas,asm/your installation/Pisum sativum
12,populus,Poplar,asm/your installation/populus
13,Sorghum bicolor,Sorghum,asm/your installation/Sorghum bicolor
14,Tritucum aestivum,Bread wheat,asm/your installation/Tritucum aestivum
15,Tritucum turgidum,Durum wheat,asm/your installation/Tritucum turgidum
